market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month,day,market_cleaned,distance_from_center,market_encoded,cluster,category_encoded,commodity_encoded,quantity,unit_type,standardized_unit,standardized_price,pricetype_encoded
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1156,22.6667,2000,7,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.56,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,968.4,18.9882,2000,7,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.684,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1102.5,21.0194,2000,8,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.025,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,986,18.7983,2000,8,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.86,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1100,20.3704,2000,9,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,975,18.0556,2000,9,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.75,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1142.25,21.1528,2000,10,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.4225,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,975,18.0556,2000,10,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.75,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1115,20.6481,2000,11,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,11.15,1
Dhaka,23.81,90.41,cereals and tubers,wheat,100 KG,actual,Wholesale,BDT,990,18.3333,2000,11,15,Dhaka,0.2569089241907096,13,2,0,68,100,kg,100,9.9,1
Dhaka,23.81,90.41,cereals and tubers,"rice (coarse, br8/ 11/, guti sharna)",100 KG,actual,Wholesale,BDT,1070,19.8148,2000,12,15,Dhaka,0.2569089241907096,13,2,0,51,100,kg,100,10.7,1
